ID,Possession Status,Commercial,Developer,Price,sqft Price ,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,City,bedroom,floors,isPrimeLocationProperty,Property Lifespan
8967,Ready to Move,N,Rutu Group,12500000,12626,Unfurnished,2,East,Resale,Apartment,Thane,2,17,N,5 to 10 years
8966,Ready to Move,N,Runwal Developers,17000000,14167,Furnished,3,NA,Resale,Apartment,Thane,3,20,N,5 to 10 years
8965,Ready to Move,N,Runwal Developers,7700000,11846,Unfurnished,1,NA,Resale,Apartment,Thane,1,7,N,NA
8964,Ready to Move,N,Dosti Realty,20000000,20000,Unfurnished,3,East,Resale,Apartment,Thane,3,50,N,New Construction
8963,Ready to Move,N,Raunak Group,19000000,18095,Semi-Furnished,2,East,Resale,Apartment,Thane,2,22,N,5 to 10 years
8962,Ready to Move,N,Rosa Group,13500000,13706,Semi-Furnished,2,East,Resale,Apartment,Thane,2,21,N,Less than 5 years
8961,Ready to Move,N,Runwal Developers,9000000,11688,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,12,N,NA
8960,Ready to Move,N,Siddhi Group,10000000,14388,Unfurnished,2,North - West,Resale,Apartment,Thane,2,19,N,NA
8959,Ready to Move,N,Sagar Builders,5800000,10000,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,7,N,NA
8958,Ready to Move,N,Sheth Creators Pvt. Ltd.,6200000,10877,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,7,N,NA
8957,Under Construction,N,Kalpataru Ltd.,9800000,18491,Unfurnished,2,East,Resale,Apartment,Thane,2,33,N,NA
8956,Ready to Move,N,Vihang Group,5000000,11364,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,8,N,NA
8955,Ready to Move,N,NA,2700000,8308,Unfurnished,1,East,Resale,Apartment,Thane,1,30,N,Less than 5 years
8954,Ready to Move,N,Siddhi Group,12800000,13061,Semi-Furnished,2,East,Resale,Apartment,Thane,2,18,N,Less than 5 years
8953,Under Construction,N,Lodha,14000000,20833,Unfurnished,2,NA,Resale,Apartment,Thane,2,31,N,NA
8952,Ready to Move,N,PRESCON,12000000,10084,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,25,N,5 to 10 years
8951,Ready to Move,N,Fenkin Realty,12500000,10549,Semi-Furnished,2,West,Resale,Apartment,Thane,2,17,N,Less than 5 years
8950,Ready to Move,N,Jaiveer Group,9500000,10270,Semi-Furnished,2,North - East,Resale,Apartment,Thane,2,7,N,10 to 15 years
